Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Stammers, Oliver","10","0","5","0","50","-10","487","56","153","11.5","31.42","-86.2","20","13","260","29","80","11.15","30.77","-19.59","60","22","39","36.67","36.67","2.89","429","52","143","12.12","12.12","-83.5",
"Steward, Louis","9","1","1","11.11","11.11","-2","351","43","114","12.25","32.48","-114","13","9","191","24","65","12.57","34.03","-62.27","37","15","24","40.54","40.54","2.63","191","28","68","14.66","14.66","-20.01",
"Stott, Kevin","40","3","14","7.5","35","-30.04","1217","169","451","13.89","37.06","-355.63","4","7","529","73","191","13.8","36.11","-105.54","242","73","151","30.17","30.17","-38.71","816","112","295","13.73","13.73","-186.35",
"Sullivan, James P","22","4","4","18.18","18.18","39.33","1196","63","205","5.27","17.14","-406.01","3","5","547","25","91","4.57","16.64","-141.71","47","14","25","29.79","29.79","3.24","972","52","173","5.35","5.35","-310.84",
"Timms, Oliver","7","0","0","0","0","-7","25","1","2","4","8","-22.37","34","11","12","1","1","8.33","8.33","-9.37","2","1","1","50","50","0.63","15","1","1","6.67","6.67","-12.37",
"Torrens, Simon","16","1","4","6.25","25","-14.17","855","56","177","6.55","20.7","-330.02","4","6","345","16","61","4.64","17.68","-215.52","65","13","31","20","20","-28.68","516","31","114","6.01","6.01","-128.29",
"Townend, Miss J","5","2","4","40","80","0.5","165","38","69","23.03","41.82","78.05","5","1","92","23","42","25","45.65","50.55","37","15","24","40.54","40.54","-4.24","43","6","11","13.95","13.95","35",
"Tudhope, Daniel","37","5","14","13.51","37.84","-13.87","1369","223","540","16.29","39.44","-158.4","3","7","628","103","243","16.4","38.69","-11.74","288","92","170","31.94","31.94","-33.06","869","128","317","14.73","14.73","-121.26",
"Turner, Hayley","23","2","5","8.7","21.74","-13.5","832","83","225","9.98","27.04","-192.59","5","9","392","43","110","10.97","28.06","-88.05","67","25","37","37.31","37.31","5.46","560","50","147","8.93","8.93","-203.95",
"Van Buuren, Kyanna","4","0","1","0","25","-4","64","1","7","1.56","10.94","-38","80","24","51","1","6","1.96","11.76","-25","0","0","0","0","0","0","47","1","7","2.13","2.13","-21",
"Voikhansky, Alexander","9","1","1","11.11","11.11","-3.5","62","3","11","4.84","17.74","-39","4","4","56","2","9","3.57","16.07","-41.5","2","0","1","0","0","-2","53","2","9","3.77","3.77","-35.5",
"Walsh, E","4","0","2","0","50","-4","432","21","78","4.86","18.06","-262.82","84","36","208","12","42","5.77","20.19","-107.92","23","5","11","21.74","21.74","-9.15","251","12","54","4.78","4.78","-143.9",
"Walton, Miss J","1","0","0","0","0","-1","51","8","14","15.69","27.45","31","99","10","28","4","8","14.29","28.57","27.5","0","0","0","0","0","0","31","7","11","22.58","22.58","25",
"Ward, Ms L","0","0","0","0","0","0","9","1","1","11.11","11.11","32","485","9","4","0","0","0","0","-4","0","0","0","0","0","0","3","0","0","0","0","-3",
"Watson, Jason","46","5","14","10.87","30.43","-4.42","1026","139","341","13.55","33.24","-2.02","1","2","679","95","237","13.99","34.9","61.92","130","39","78","30","30","-21.17","706","102","234","14.45","14.45","4.16",
"Whelan, R P","26","1","5","3.85","19.23","-15","1181","84","291","7.11","24.64","-285.95","14","25","519","34","114","6.55","21.97","-181.25","108","23","62","21.3","21.3","-31.86","622","44","159","7.07","7.07","-247.32",
"Whelan, Trevor","19","1","4","5.26","21.05","-16.37","676","59","152","8.73","22.49","-207.38","1","2","486","38","107","7.82","22.02","-214.55","46","13","25","28.26","28.26","-6.3","459","46","120","10.02","10.02","-81.47",
"Whittle, Miss S","0","0","0","0","0","0","6","3","3","50","50","11.33","140","2","2","1","1","50","50","7","1","1","1","100","100","0.83","5","2","2","40","40","3.33",
"Wood, George","8","0","1","0","12.5","-8","344","20","82","5.81","23.84","-178.16","21","10","132","10","34","7.58","25.76","-66.41","20","7","13","35","35","5.09","214","15","60","7.01","7.01","-92.91",
 
