horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Saorla","16:00:00","2021-12-08","Kempton","All Weather","Novices","7f ","7","Standard To Slow","14","Class 5","No Prev","6","Probert, David","20","Balding, A M","124","0","8","5.28",
"Swiss Rowe (IRE)","17:00:00","2022-05-05","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 6","57","5","Eddery, George","7","Butler, John","140","45","5","9.75",
"Swiss Rowe (IRE)","20:30:00","2022-03-09","Kempton","All Weather","Handicap","7f ","7","Standard To Slow","13","Class 6","1","7","Cherchi, Stefano","9","Butler, John","121","46","9","4.3",
"Swiss Rowe (IRE)","17:30:00","2022-03-08","Wolverhampton","All Weather","Non-Handicap","7f ","7","Standard","10","Class 6","25","7","Cherchi, Stefano","4","Butler, John","125","46","4","6",
"Swiss Rowe (IRE)","19:45:00","2022-02-11","Chelmsford City","All Weather","Non-Handicap","1m ","8","Standard","15","Class 6","16","12","Morris, Luke","14","Butler, John","128","47","9","10.4",
"Swiss Rowe (IRE)","16:30:00","2022-01-26","Kempton","All Weather","Non-Handicap","7f ","7","Standard To Slow","12","Class 6","21","3","Donohoe, Stephen","2.75","Butler, John","128","46","2","2",
"Victoria Falls (IRE)","17:50:00","2022-10-25","Newcastle","All Weather","Novices","7f ","7","Standard To Slow","8","Class 5","19","2","Mullen, Andrew","18","Palmer, Hugo","128","0","3","3.25",
"Victoria Falls (IRE)","18:00:00","2022-10-06","Chelmsford City","All Weather","Maiden","7f ","7","Standard","8","Class 5","No Prev","5","Davies, Harry","25","Palmer, Hugo","125","0","9","10.03",
"Whiteandblue","19:05:00","2022-05-07","Thirsk","Flat (Turf)","Handicap","6f ","6","Good","19","Class 5","17","14","Shaw, Harrison","25","Smart, B","129","64","20","5.45",
"Whiteandblue","14:15:00","2022-04-20","Catterick","Flat (Turf)","Handicap","5f ","5","Good","13","Class 5","83","5","Shaw, Harrison","16","Smart, B","128","65","2","3.65",
"Whiteandblue","13:55:00","2022-01-27","Southwell","All Weather","Maiden","6f ","6","Standard To Slow","11","Class 5","26","4","Sanna, G","5.5","Smart, B","115","70","8","5",
