Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"ODwyer, Charlie","6","1","1","16.67","16.67","3","258","19","55","7.36","21.32","202.73","2","1","195","17","47","8.72","24.1","248.23","15","3","7","20","20","-4.27","172","12","38","6.98","6.98","-41",
"OFarrell, C","15","1","6","6.67","40","-11.75","811","87","222","10.73","27.37","-271.91","2","2","382","43","107","11.26","28.01","-109.33","77","27","47","35.06","35.06","0.56","549","72","173","13.11","13.11","-80.88",
"OKeeffe, Darragh","20","0","3","0","15","-20","1286","109","369","8.48","28.69","-468.98","19","24","627","46","166","7.34","26.48","-270.26","141","34","73","24.11","24.11","-50.06","652","59","193","9.05","9.05","-121.26",
"OKeeffe, Sean F","17","1","3","5.88","17.65","-15.56","967","73","207","7.55","21.41","-298.77","11","16","429","25","86","5.83","20.05","-83.13","61","19","42","31.15","31.15","-15.12","479","31","84","6.47","6.47","-135.5",
"ONeill, Mr B","2","1","1","50","50","0","156","29","66","18.59","42.31","10.75","14","2","46","7","17","15.22","36.96","-21.06","36","14","27","38.89","38.89","-1.63","11","0","3","0","0","-11",
"ORegan, Denis","13","1","1","7.69","7.69","-1","663","44","153","6.64","23.08","-354.32","10","10","291","17","62","5.84","21.31","-159.18","51","12","30","23.53","23.53","-20.57","294","21","72","7.14","7.14","-90.25",
"OSullivan, Mr M J M","19","1","6","5.26","31.58","-15","367","31","93","8.45","25.34","-84.26","1","2","291","23","78","7.9","26.8","-86.43","41","11","22","26.83","26.83","-5.26","157","16","45","10.19","10.19","5.96",
"Poste, Ben J","12","0","1","0","8.33","-12","560","20","90","3.57","16.07","-397.87","70","53","262","9","41","3.44","15.65","-192.25","22","4","12","18.18","18.18","-10","376","16","69","4.26","4.26","-266.87",
"Powell, Brendan","26","0","8","0","30.77","-26","791","103","257","13.02","32.49","-145.64","29","39","381","46","130","12.07","34.12","-140.18","94","36","58","38.3","38.3","8.03","527","73","171","13.85","13.85","-95.9",
"Quinlan, S M","7","1","2","14.29","28.57","-3.75","214","17","46","7.94","21.5","-89.37","1","2","81","10","21","12.35","25.93","-21.62","14","4","6","28.57","28.57","-3.62","165","17","41","10.3","10.3","-40.37",
"Quinlan, Sean","30","3","11","10","36.67","-12","1193","149","373","12.49","31.27","-108.72","2","4","568","74","181","13.03","31.87","-97.83","149","48","93","32.21","32.21","-14.76","831","109","265","13.12","13.12","-13.91",
"Quirke, Mr C M","18","3","6","16.67","33.33","1","271","20","54","7.38","19.93","-55.79","11","15","210","18","43","8.57","20.48","-8.12","9","2","3","22.22","22.22","-4.62","148","10","31","6.76","6.76","3",
"Reed, Harry","5","0","1","0","20","-5","459","35","100","7.63","21.79","-218.27","117","76","213","13","40","6.1","18.78","-123.95","32","8","15","25","25","-11.81","319","29","76","9.09","9.09","-98.35",
"Russell, D N","20","3","9","15","45","-11.54","385","81","200","21.04","51.95","-38.9","8","11","228","42","115","18.42","50.44","-48.53","112","47","83","41.96","41.96","-2.83","103","10","38","9.71","9.71","-34.04",
"Ryan, Mr A P","2","0","0","0","0","-2","77","4","16","5.19","20.78","9.25","116","22","53","4","11","7.55","20.75","33.25","2","1","1","50","50","1.25","16","0","1","0","0","-16",
"Scholfield, Nick","13","3","6","23.08","46.15","7.25","617","71","157","11.51","25.45","-20.7","5","7","170","20","44","11.76","25.88","-50.9","67","23","39","34.33","34.33","-10.19","366","45","102","12.3","12.3","71.5",
"Slevin, J J","15","2","6","13.33","40","-2.25","846","72","208","8.51","24.59","-295.21","5","3","419","39","103","9.31","24.58","-91.38","63","28","47","44.44","44.44","13.05","353","28","79","7.93","7.93","1.75",
"Stones, Lewis","8","3","3","37.5","37.5","38","180","17","60","9.44","33.33","-66.8","3","1","94","14","35","14.89","37.23","7.12","13","3","6","23.08","23.08","-3.59","150","13","53","8.67","8.67","-51.76",
"Tidball, Jay","4","0","1","0","25","-4","104","11","28","10.58","26.92","-12.67","67","18","69","7","19","10.14","27.54","-25.67","7","1","2","14.29","14.29","-3","67","4","19","5.97","5.97","-44.5",
"Torrens, Simon","19","1","1","5.26","5.26","-15","798","47","150","5.89","18.8","-418.98","11","16","405","23","77","5.68","19.01","-271.64","44","9","21","20.45","20.45","-21.64","441","20","80","4.54","4.54","-209.62",
"Townend, Miss J","4","1","1","25","25","-0.5","168","45","78","26.79","46.43","95.87","5","2","91","24","47","26.37","51.65","53.17","41","20","28","48.78","48.78","2.58","32","7","12","21.88","21.88","52.5",
"Townend, P","18","8","12","44.44","66.67","-1.83","557","193","334","34.65","59.96","-109.04","1","2","307","114","189","37.13","61.56","-49.37","299","158","227","52.84","52.84","-14.76","112","12","43","10.71","10.71","-39.43",
"Tudor, Jack","14","0","1","0","7.14","-14","456","45","113","9.87","24.78","-17.28","36","17","205","19","46","9.27","22.44","5.88","63","13","34","20.63","20.63","-27.61","317","39","95","12.3","12.3","-26.78",
"Twiston-Davies, Sam","36","8","15","22.22","41.67","8.25","1402","188","474","13.41","33.81","-389.43","3","7","618","81","213","13.11","34.47","-187.39","237","71","135","29.96","29.96","-53.37","881","119","285","13.51","13.51","-142.28",
"Wadge, P","18","1","5","5.56","27.78","-13.5","117","12","36","10.26","30.77","-56.03","11","18","85","12","31","14.12","36.47","-24.03","10","5","7","50","50","1.47","104","9","31","8.65","8.65","-58.94",
"Walsh, M P","5","1","2","20","40","0","679","121","280","17.82","41.24","-94.85","1","2","301","54","127","17.94","42.19","-77.08","181","68","118","37.57","37.57","-5.6","316","39","116","12.34","12.34","-63.21",
"Ward, Christopher","4","0","1","0","25","-4","131","7","22","5.34","16.79","-19","83","16","79","5","15","6.33","18.99","-2.5","2","0","0","0","0","-2","75","5","13","6.67","6.67","-18",
"Wedge, Adam","27","1","3","3.7","11.11","-18.5","904","121","246","13.38","27.21","-80.43","2","4","456","67","138","14.69","30.26","-56.09","122","47","68","38.52","38.52","2.78","606","87","169","14.36","14.36","-4.9",
"Williams, Isabel","6","0","2","0","33.33","-6","217","20","55","9.22","25.35","-93.77","31","11","95","10","22","10.53","23.16","-31.62","17","7","11","41.18","41.18","1.23","181","16","50","8.84","8.84","-76.87",
"Woods, K K","19","4","7","21.05","36.84","-4.04","720","94","244","13.06","33.89","-117.58","1","3","361","64","144","17.73","39.89","87.78","103","34","62","33.01","33.01","-16.37","444","63","162","14.19","14.19","-68.05",
"Worsley, Tabitha","18","0","2","0","11.11","-18","459","24","81","5.23","17.65","-125.96","75","49","218","7","40","3.21","18.35","-128.17","18","4","8","22.22","22.22","-4.29","362","22","71","6.08","6.08","-37.79",
 
