Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Bowen, Sean P","18","4","8","22.22","44.44","-3.34","26","5","11","19.23","42.31","-5.84","1430","276","546","19.3","38.18","129.73","1","1","703","127","270","18.07","38.41","-23.58","359","146","213","40.67","40.67","3.93","935","161","327","17.22","17.22","-60.58",
"Bradley, Paddy","8","0","1","0","12.5","-8","14","0","3","0","21.43","-14","573","47","141","8.2","24.61","-150.8","36","37","328","27","81","8.23","24.7","-76.96","31","6","14","19.35","19.35","-10.79","439","44","126","10.02","10.02","-31.8",
"Breslin, Andrew","11","3","4","27.27","36.36","26.5","19","3","7","15.79","36.84","18.5","369","17","69","4.61","18.7","-166","1","2","268","16","58","5.97","21.64","-88","11","1","4","9.09","9.09","-7.75","315","15","59","4.76","4.76","-146",
"Brickley, Mr F D","2","0","0","0","0","-2","2","0","0","0","0","-2","15","3","5","20","33.33","23.5","17","3","12","2","3","16.67","25","18.5","0","0","0","0","0","0","3","1","1","33.33","33.33","1.5",
"Brogan, Kevin","3","0","0","0","0","-3","4","0","0","0","0","-4","387","23","82","5.94","21.19","-182.41","59","14","165","7","26","4.24","15.76","-109.67","23","4","13","17.39","17.39","-12.49","265","18","58","6.79","6.79","-175.41",
"Brookes, Aiden","8","0","0","0","0","-8","16","1","2","6.25","12.5","-8.5","451","31","82","6.87","18.18","73.58","13","15","242","17","45","7.02","18.6","114.5","21","5","14","23.81","23.81","-0.17","396","30","76","7.58","7.58","122.58",
"Brouder, Gavin","5","0","2","0","40","-5","5","0","2","0","40","-5","334","18","64","5.39","19.16","-167.87","21","7","162","9","28","5.56","17.28","-100.75","21","6","11","28.57","28.57","7.25","210","16","46","7.62","7.62","-51.25",
"Buckley, Kieran","7","1","1","14.29","14.29","6","9","3","3","33.33","33.33","23.75","496","34","117","6.85","23.59","-255.74","5","3","202","15","50","7.43","24.75","-95.14","44","11","24","25","25","-12.99","271","21","76","7.75","7.75","-84.5",
"Buick, William","9","1","4","11.11","44.44","-2.5","19","1","7","5.26","36.84","-12.5","1309","306","574","23.38","43.85","-109.4","5","2","567","133","237","23.46","41.8","-85.83","468","182","282","38.89","38.89","-23.31","650","139","256","21.38","21.38","23.78",
"Burke, Jonathan","3","0","0","0","0","-3","12","1","2","8.33","16.67","-7.5","744","101","265","13.58","35.62","-200.63","9","7","419","59","156","14.08","37.23","-80.65","117","49","81","41.88","41.88","9.2","430","48","136","11.16","11.16","-134.28",
"Butler, Miss Charlotte","0","0","0","0","0","0","0","0","0","0","0","0","21","4","4","19.05","19.05","31","51","2","15","3","3","20","20","28","0","0","0","0","0","0","12","3","3","25","25","19",
"Byrnes, Mr P","5","0","0","0","0","-5","6","0","0","0","0","-6","423","45","98","10.64","23.17","-181.67","18","8","239","21","48","8.79","20.08","-110.65","51","23","35","45.1","45.1","15.08","233","25","53","10.73","10.73","-83.17",
"Callaghan, Mr K","4","0","0","0","0","-4","4","0","0","0","0","-4","238","28","59","11.76","24.79","-18.79","20","6","77","8","17","10.39","22.08","-2.83","25","12","19","48","48","2.46","174","16","38","9.2","9.2","17.75",
"Cannon, Tom J","2","0","1","0","50","-2","3","0","1","0","33.33","-3","779","112","239","14.38","30.68","-158.38","38","7","381","50","116","13.12","30.45","-115.92","99","43","57","43.43","43.43","10.12","457","59","132","12.91","12.91","-107.75",
"Carver, Bryan","2","0","0","0","0","-2","3","0","1","0","33.33","-3","430","47","109","10.93","25.35","-152.37","39","6","250","23","59","9.2","23.6","-123.48","37","19","26","51.35","51.35","14.84","304","38","83","12.5","12.5","-63.54",
"Clarke, Conor","0","0","0","0","0","0","0","0","0","0","0","0","65","3","15","4.62","23.08","-42","388","43","40","0","7","0","17.5","-40","6","1","2","16.67","16.67","-4.33","29","1","6","3.45","3.45","-27.33",
"Clutterbuck, Rhys","10","0","2","0","20","-10","24","1","5","4.17","20.83","-19","733","65","173","8.87","23.6","-236.14","12","20","393","37","94","9.41","23.92","-138.17","57","18","36","31.58","31.58","-6.14","513","53","137","10.33","10.33","-101.62",
"Coakley, Ross","12","2","4","16.67","33.33","-2.17","21","4","7","19.05","33.33","8.21","723","86","224","11.89","30.98","-170.73","2","2","373","41","107","10.99","28.69","-71.94","80","26","46","32.5","32.5","-7.78","432","53","133","12.27","12.27","-86.08",
"Cody, Miss E","0","0","0","0","0","0","0","0","0","0","0","0","31","3","10","9.68","32.26","41","387","19","15","0","2","0","13.33","-15","2","0","2","0","0","-2","10","1","4","10","10","-6",
"Collier, Ellis","0","0","0","0","0","0","0","0","0","0","0","0","128","7","17","5.47","13.28","-62.75","170","2","49","5","9","10.2","18.37","-9.75","4","0","0","0","0","-4","112","6","15","5.36","5.36","-59.75",
"Corish, Ms J","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","9999","9999","1","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0",
"Costello, Dougie","11","3","4","27.27","36.36","8.83","15","3","5","20","33.33","4.83","698","64","168","9.17","24.07","-212.64","3","5","331","27","77","8.16","23.26","-145.65","52","15","33","28.85","28.85","-13.05","531","53","134","9.98","9.98","-106.7",
