horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Tilly The Filly (IRE)","13:20:00","2021-09-21","Beverley","Flat (Turf)","Novices","5f ","5","Good","11","Class 5","16","4","Lee, G","5","Smart, B","126","0","5","1.8",
"Yaahobby (IRE)","14:15:00","2022-04-20","Catterick","Flat (Turf)","Handicap","5f ","5","Good","13","Class 5","34","11","Hardie, Cameron","20","Brittain, Antony","134","71","4","12.6",
"Yaahobby (IRE)","18:30:00","2022-03-17","Wolverhampton","All Weather","Handicap","6f ","6","Standard","8","Class 4","10","6","Hardie, Cameron","16","Brittain, Antony","126","73","1","5.65",
"Yaahobby (IRE)","18:30:00","2022-03-07","Wolverhampton","All Weather","Handicap","6f ","6","Standard","8","Class 4","16","6","Hardie, Cameron","10","Brittain, Antony","126","73","8","3.65",
"Yaahobby (IRE)","18:00:00","2022-02-19","Newcastle","All Weather","Handicap","6f ","6","Standard To Slow","7","Class 5","18","2","Hardie, Cameron","4","Brittain, Antony","131","73","4","2",
"Yaahobby (IRE)","17:20:00","2022-02-01","Wolverhampton","All Weather","Novices","6f ","6","Standard","7","Class 5","152","1","Hardie, Cameron","18","Brittain, Antony","126","73","3",,
"Bukela","17:45:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m6f ","14","Good To Firm","13","Class 6","181","5","Russell, Harry","22","Ellison, B","122","55","4","2.9",
"Bukela","14:40:00","2021-10-25","Redcar","Flat (Turf)","Novices","1m1f ","9","Soft","9","Class 5","10","9","Mulrennan, Paul","150","Keniry, Stef","131","0","5","17.9",
"Bukela","15:30:00","2021-10-15","Haydock","Flat (Turf)","Novices","1m ","8","Soft","8","Class 4","56","7","Mulrennan, Paul","250","Keniry, Stef","131","0","5","15.25",
"Bukela","18:37:00","2021-08-20","Newcastle","All Weather","Novices","7f ","7","Standard To Slow","8","Class 4","No Prev","7","Russell, Harry","50","Keniry, Stef","128","0","8","22.35",
"Carbonado","17:45:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m6f ","14","Good To Firm","13","Class 6","22","9","Mullen, Andrew","80","Fahey, R A","115","45","1","9.15",
